recordid;departmentname;regioncode;departmentcode;oktmodepartment;end_date;autokey
2593584018461038353;ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ПО ТУАПСИНСКОМУ РАЙОНУ;23;230-019;03655000;;MVDR23_DEPARTMENTS_2593584018461038353
2593582637520000529;МИГРАЦИОННЫЙ ПУНКТ ОМВД РОССИИ ПО ПИТКЯРАНТСКОМУ РАЙОНУ;10;100-013;86633000;;MVDR23_DEPARTMENTS_2593582637520000529
2593582643970840087;ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ УПРАВЛЕНИЯ МВД РОССИИ ПО ГОРОДУ СЫКТЫВКАРУ МВД ПО РЕСПУБЛИКЕ КОМИ;11;110-001;87701000;;MVDR23_DEPARTMENTS_2593582643970840087
2593584380295255162;ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОТДЕЛА МВД РОССИИ ПО КСТОВСКОМУ РАЙОНУ;52;520-034;22537000;;MVDR23_DEPARTMENTS_2593584380295255162
2593584036731426595;ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ПО БРЮХОВЕЦКОМУ РАЙОНУ;23;230-030;03610000;;MVDR23_DEPARTMENTS_2593584036731426595
2593582293519963366;МИГРАЦИОННЫЙ ПУНКТ ОТДЕЛЕНИЯ ПОЛИЦИИ «КЛЕТНЯНСКОЕ» МЕЖМУНИЦИПАЛЬНОГО ОТДЕЛА МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ «ЖУКОВСКИЙ» (РЕАЛИЗУЮЩЕГО ЗАДАЧИ И ФУНКЦИИ ОРГАНОВ ВНУТРЕННИХ ДЕЛ НА ТЕРРИТОРИИ КЛЕТНЯНСКОГО РАЙОНА);32;320-015;15622000;;MVDR23_DEPARTMENTS_2593582293519963366
2593588514880754809;УВМ УМВД РОССИИ ПО ТЮМЕНСКОЙ ОБЛАСТИ;72;720-027;71701000;;MVDR23_DEPARTMENTS_2593588514880754809
2593584745526859229;ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ ОТДЕЛЕНИЯ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО СТЕРЛИБАШЕВСКОМУ РАЙОНУ;02;020-061;80648445;;MVDR23_DEPARTMENTS_2593584745526859229
2593583906682836637;"ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ МО МВД РОССИИ ""КИРОВО-ЧЕПЕЦКИЙ""";43;430-012;33707000;;MVDR23_DEPARTMENTS_2593583906682836637
2593588713028064618;ОТДЕЛ ПО ВОПРОСАМ ТРУДОВОЙ МИГРАЦИИ УВМ УМВД РОССИИ ПО ЯРОСЛАВСКОЙ ОБЛАСТИ УМВД РОССИИ ПО ЯРОСЛАВСКОЙ ОБЛАСТИ;76;760-000;78701000;;MVDR23_DEPARTMENTS_2593588713028064618
2593585027023378154;МИГРАЦИОННЫЙ ПУНКТ ОТДЕЛЕНИЯ МВД РОССИИ ПО НИЖНЕКОЛЫМСКОМУ РАЙОНУ;14;140-021;98637151;;MVDR23_DEPARTMENTS_2593585027023378154
2593584343477654616;ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ МЕЖМУНИЦИПАЛЬНОГО ОТДЕЛА МВД РОССИИ «КРАСНОБАКОВСКИЙ»;52;520-032;22535000;;MVDR23_DEPARTMENTS_2593584343477654616
2593583913108510371;"ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ МО МВД РОССИИ ""КУМЕНСКИЙ""";43;430-034;33640151;;MVDR23_DEPARTMENTS_2593583913108510371
2593588464515552307;ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ ОТДМВД РОССИИ ПО КОШ-АГАЧСКОМУ РАЙОНУ;04;040-011;84610430;;MVDR23_DEPARTMENTS_2593588464515552307
2593582183847302282;ОТДЕЛЕНИЕ ОМВД РОССИИ ПО ВЕЙДЕЛЕВСКОМУ РАЙОНУ;31;310-013;14625151;;MVDR23_DEPARTMENTS_2593582183847302282
2593588353727207349;УМВД России по Астраханской области;30;;;;MVDR23_DEPARTMENTS_2593588353727207349
2593584144357267352;ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ ОТДЕЛА ПОЛИЦИИ № 10 МУ МВД РОССИИ «КРАСНОЯРСКОЕ» ГУ МВД РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ;24;240-005;04701000;;MVDR23_DEPARTMENTS_2593584144357267352
2593581564021446049;ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ПО ЕЛАБУЖСКОМУ РАЙОНУ;16;160-021;92626000;;MVDR23_DEPARTMENTS_2593581564021446049
2593584044641883945;ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ПО НОВОКУБАНСКОМУ РАЙОНУ;23;230-044;03634000;;MVDR23_DEPARTMENTS_2593584044641883945
2593582647284340251;ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ ОТДЕЛА МВД РОССИИ ПО ГОРОДУ ИНТЕ МВД ПО РЕСПУБЛИКЕ КОМИ;11;110-004;87715000;;MVDR23_DEPARTMENTS_2593582647284340251
