recordid;departmentname;regioncode;departmentcode;oktmodepartment;end_date;autokey
2593591010181256748;ПАСПОРТНО-ВИЗОВОЕ ОТДЕЛЕНИЕ ОВД РАЙОНА ЖУЛЕБИНО ГОРОДА МОСКВЫ;77;772-082;;23.09.2021;MVDR23_DEPARTMENTS_2593591010181256748
2593590911875159460;ПАСПОРТНО-ВИЗОВОЕ ОТДЕЛЕНИЕ ОВД РАЙОНА ПР. ВЕРНАДСКОГО ГОРОДА МОСКВЫ;77;772-131;;23.09.2021;MVDR23_DEPARTMENTS_2593590911875159460
2593590721873187991;ОТДЕЛ УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В Г. МОГОЧА;75;750-024;;23.09.2021;MVDR23_DEPARTMENTS_2593590721873187991
2593590772179670238;ПАСПОРТНО-ВИЗОВОЕ ОТДЕЛЕНИЕ ОВД РАЙОНА ВОСТОЧНЫЙ ГОРОДА МОСКВЫ;77;772-041;;23.09.2021;MVDR23_DEPARTMENTS_2593590772179670238
2593590746065933497;ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ПО ЯШКИНСКОМУ РАЙОНУ;42;420-048;;23.09.2021;MVDR23_DEPARTMENTS_2593590746065933497
2593590887237817728;ПАСПОРТНО-ВИЗОВОЕ ОТДЕЛЕНИЕ ОВД РАЙОНА ЗАМОСКВОРЕЧЬЕ ГОРОДА МОСКВЫ;77;772-120;;23.09.2021;MVDR23_DEPARTMENTS_2593590887237817728
2593591004896433700;"ОВД Р-НА ""ВЕШНЯКИ"" УВД ВОСТОЧНОГО АДМИНИСТРАТИВНОГО ОКРУГА Г. МОСКВЫ";77;772-125;;23.09.2021;MVDR23_DEPARTMENTS_2593591004896433700
2593590978640090623;ОТДЕЛЕНИЕ ПО РАЙОНУ ИВАНОВСКОЕ;77;770-308;;23.09.2021;MVDR23_DEPARTMENTS_2593590978640090623
2593590776315253988;ОМ СВИБЛОВО УВД СВАО Г. МОСКВЫ;77;773-050;;23.09.2021;MVDR23_DEPARTMENTS_2593590776315253988
2593590755352122566;ОТДЕЛ ПО ВОПРОСАМ ГРАЖДАНСТВА УВМ ГУ МВД РОССИИ ПО КЕМЕРОВСКОЙ ОБЛАСТИ;42;420-001;;20.06.2023;MVDR23_DEPARTMENTS_2593590755352122566
2593590746929960122;ОТДЕЛЕНИЕ УФМС РОССИИ ПО КО В Г. МАРИИНСКЕ;42;420-011;;23.09.2021;MVDR23_DEPARTMENTS_2593590746929960122
2593590956871652836;Отделение иммиграционного контроля в СВАО ОИК УФМС России по г. Москве;77;770-290;;23.09.2021;MVDR23_DEPARTMENTS_2593590956871652836
2593590635327919131;ОТДЕЛЕНИЕ УФМС РОССИИ ПО САХАЛИНСКОЙ ОБЛАСТИ В ОХИНСКОМ Р-НЕ;65;650-011;;23.09.2021;MVDR23_DEPARTMENTS_2593590635327919131
2593590701849580667;ОВД ЗЮЗИНО ПС № 1 УВД ЮЗАО Г. МОСКВЫ;77;772-053;;23.09.2021;MVDR23_DEPARTMENTS_2593590701849580667
2593590873807656301;УФМС РОССИИ ПО Г. МОСКВЕ;77;771-101;;23.09.2021;MVDR23_DEPARTMENTS_2593590873807656301
2593591031236662871;ТП №3 ОУФМС РОССИИ ПО МОСКОВСКОЙ ОБЛАСТИ ПО ГОРОДСКОМУ ОКРУГУ БАЛАШИХА;50;500-009;;23.09.2021;MVDR23_DEPARTMENTS_2593591031236662871
2593590664201507909;ОВД ТЮМЕНЦЕВСКОГО Р-НА АЛТАЙСКОГО КРАЯ;22;222-058;;23.09.2021;MVDR23_DEPARTMENTS_2593590664201507909
2593590593762367458;4 ОТДЕЛЕНИЕ ОТДЕЛА ПО КАЛИНИНСКОМУ РАЙОНУ СПБ УВМ ГУ МВД РОССИИ ПО СПБ И ЛО;78;780-012;;23.09.2021;MVDR23_DEPARTMENTS_2593590593762367458
2593590629296509970;ТП В П. ЮЖНОМ ОУФМС РОССИИ ПО АЛТАЙСКОМУ КРАЮ В ЦЕНТРАЛЬНОМ Р-НЕ Г. БАРНАУЛА;22;220-076;;23.09.2021;MVDR23_DEPARTMENTS_2593590629296509970
2593590594475399139;1 ОТДЕЛЕНИЕ ОТДЕЛА ПО АДМИРАЛТЕЙСКОМУ РАЙОНУ СПБ УВМ ГУ МВД РОССИИ ПО СПБ И ЛО;78;780-001;;23.09.2021;MVDR23_DEPARTMENTS_2593590594475399139
2593590955495921122;150 ОТДЕЛЕНИЕ МИЛИЦИИ ОВД ЯСЕНЕВО УВД ЮЗАО Г. МОСКВЫ;77;773-008;;23.09.2021;MVDR23_DEPARTMENTS_2593590955495921122
2593591067609667205;ТП №1 ОУФМС РОССИИ ПО МОСКОВСКОЙ ОБЛАСТИ ПО СТУПИНСКОМУ МУНИЦИПАЛЬНОМУ РАЙОНУ;50;500-162;;23.09.2021;MVDR23_DEPARTMENTS_2593591067609667205
2593590974538061305;ОТДЕЛЕНИЕ ПО РАЙОНУ НОВО-ПЕРЕДЕЛКИНО;77;770-711;;23.09.2021;MVDR23_DEPARTMENTS_2593590974538061305
2593592041602553761;ТП В Г. КАШИРА - 8 УФМС РОССИИ ПО МОСКОВСКОЙ ОБЛ.;50;500-201;;23.09.2021;MVDR23_DEPARTMENTS_2593592041602553761
2593592010396931959;ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ УМВД РОССИИ ПО ВОСКРЕСЕНСКОМУ РАЙОНУ ГУ МВД РОССИИ ПО МОСКОВСКОЙ ОБЛАСТИ;50;500-015;;23.09.2021;MVDR23_DEPARTMENTS_2593592010396931959
2593592386684720485;УФМС РОССИИ ПО СВЕРДЛОВСКОЙ ОБЛАСТИ;66;660-067-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592386684720485
2593592706928219908;ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ШАБАЛИНСКОМ РАЙОНЕ;43;430053;;23.09.2021;MVDR23_DEPARTMENTS_2593592706928219908
2593592402010707323;ОТДЕЛЕНИЕ УФМС РОССИИ ПО АСТРАХАНСКОЙ ОБЛАСТИ В ЛИМАНСКОМ РАЙОНЕ;30;300-011-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592402010707323
2593592186431870036;ОТДЕЛ УФМС РОССИИ ПО ТАМБОВСКОЙ ОБЛАСТИ В ЖЕРДЕВСКОМ РАЙОНЕ;68;680-008-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592186431870036
2593591978595718986;ОТДЕЛЕНИЕ ПО РАЙОНУ КУЗЬМИНКИ;77;770-428;;23.09.2021;MVDR23_DEPARTMENTS_2593591978595718986
2593592580990047842;ОТДЕЛОМ ВИЗ И РЕГИСТРАЦИИ УВД ЗЕЛЕНОГРАДСКОГО АДМИНИСТРАТИВНОГО ОКРУГА ГОРОДА МОСКВЫ;77;775689;;29.12.2022;MVDR23_DEPARTMENTS_2593592580990047842
2593592395853469042;ОТДЕЛ УФМС РОССИИ ПО АСТРАХАНСКОЙ ОБЛАСТИ В СОВЕТСКОМ РАЙОНЕ Г. АСТРАХАНИ;30;300-003-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592395853469042
2593592081456830413;ТП ОФМС РОССИИ ПО ЧУКОТСКОМУ АВТОНОМНОМУ ОКРУГУ В ЧАУНСКОМ Р-НЕ;87;870-007;;23.09.2021;MVDR23_DEPARTMENTS_2593592081456830413
2593592535599289898;ОТДЕЛ  УФМС РОССИИ ПО ИРКУТСКОЙ ОБЛАСТИ В Г. ТУЛУНЕ (С МЕСТОМ ДИСЛОКАЦИИ В Г. ТУЛУН, ПОС. КУЙТУН);38;380-029-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592535599289898
2593591829328828024;ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ) В МОМСКОМ Р-НЕ;14;140-020;;23.09.2021;MVDR23_DEPARTMENTS_2593591829328828024
2593592322939688207;ОТДЕЛ УФМС РОССИИ ПО ИВАНОВСКОЙ ОБЛАСТИ В ТЕЙКОВСКОМ МУНИЦИПАЛЬНОМ РАЙОНЕ;37;370-013-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592322939688207
2593592687969965801;ОТДЕЛОМ ВНУТРЕННИХ ДЕЛ ВОЛОСОВСКОГО РАЙОНА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;47;785276;;29.12.2022;MVDR23_DEPARTMENTS_2593592687969965801
2593592534072563240;ОТДЕЛЕНИЕ УФМС РОССИИ ПО ИРКУТСКОЙ ОБЛАСТИ В СЛЮДЯНСКОМ РАЙОНЕ;38;380-025-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592534072563240
2593592433610593702;УПРАВЛЕНИЕМ ВНУТРЕННИХ ДЕЛ АВТОЗАВОДСКОГО РАЙОНА ГОРОДА ТОЛЬЯТТИ САМАРСКОЙ ОБЛАСТИ;63;632035;;30.12.2022;MVDR23_DEPARTMENTS_2593592433610593702
2593591851046934165;2 ОТДЕЛЕНИЕ ОТДЕЛА ПО КИРОВСКОМУ РАЙОНУ СПБ УВМ ГУ МВД РОССИИ ПО СПБ И ЛО;78;780-015;;23.09.2021;MVDR23_DEPARTMENTS_2593591851046934165
2593592373934036308;ОТДЕЛ УФМС РОССИИ ПО АЛТАЙСКОМУ КРАЮ И РЕСПУБЛИКЕ АЛТАЙ В Г. ЗАРИНСКЕ;22;220-015-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592373934036308
2593591957909411629;ПАСПОРТНО-ВИЗОВОЕ ОТДЕЛЕНИЕ ОВД РАЙОНА ДОРОГОМИЛОВО ГОРОДА МОСКВЫ;77;772-075;;23.09.2021;MVDR23_DEPARTMENTS_2593591957909411629
2593592569296328276;ЧЕТВЕРТЫМ МЕЖРАЙОННЫМ ОТДЕЛОМ ВИР УВД ЮЖНОГО АДМИНИСТРАТИВНОГО ОКРУГА ГОРОДА МОСКВЫ;77;775671;;29.12.2022;MVDR23_DEPARTMENTS_2593592569296328276
2593592182950597711;ОТДЕЛЕНИЕ УФМС РОССИИ ПО САМАРСКОЙ ОБЛАСТИ В СТАВРОПОЛЬСКОМ РАЙОНЕ;63;630-027-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592182950597711
2593592708320728838;МИГРАЦИОННЫЙ ПУНКТ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ГОРОДЕ ЗУЕВКА;43;430-009-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592708320728838
2593592105037207530;ДЧ УВД АВИАСТРОИТЕЛЬНОГО Р-НА Г. КАЗАНИ;16;161-001;;23.09.2021;MVDR23_DEPARTMENTS_2593592105037207530
2593592142643336218;ОТДЕЛЕНИЕ УФМС РОССИИ ПО АСТРАХАНСКОЙ ОБЛАСТИ В ИКРЯНИНСКОМ РАЙОНЕ;30;300-008-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592142643336218
2593592017460139905;ТП В С. УСПЕНСКОЕ ОУФМС РОССИИ ПО МОСКОВСКОЙ ОБЛ. В ОДИНЦОВСКОМ Р-НЕ;50;500-108;;23.09.2021;MVDR23_DEPARTMENTS_2593592017460139905
2593592316178470150;ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ КОМИ В УСТЬ-ВЫМСКОМ РАЙОНЕ;11;110-019-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592316178470150
2593592344624239916;УФМС РОССИИ ПО РЕСПУБЛИКЕ МОРДОВИЯ;13;130-001-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592344624239916
2593592184410215505;МЕЖРАЙОННЫЙ ОТДЕЛ УФМС РОССИИ ПО СМОЛЕНСКОЙ ОБЛАСТИ В ГОРОДЕ ЯРЦЕВО;67;670-029-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592184410215505
2593592152290235431;ПРИМОРСКИМ РУВД САНКТ-ПЕТЕРБУРГА;78;785786;;29.12.2022;MVDR23_DEPARTMENTS_2593592152290235431
2593592367105709386;ОТДЕЛ УФМС РОССИИ ПО СВЕРДЛОВСКОЙ ОБЛАСТИ В Г. БОГДАНОВИЧ;66;660-036-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592367105709386
2593592254178268339;ТП УФМС РОССИИ ПО ТВЕРСКОЙ ОБЛ. В САНДОВСКОМ РАЙОНЕ;69;690-031-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592254178268339
2593591815839946341;ОВД Г. ДУДИНКИ ТАЙМЫРСКОГО (ДОЛГАНО-НЕНЕЦКОГО) АО;24;843-001;;23.09.2021;MVDR23_DEPARTMENTS_2593591815839946341
2593592315490604293;ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ КОМИ В ТРОИЦКО-ПЕЧОРСКОМ РАЙОНЕ;11;110-016-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592315490604293
2593592388211447143;ОТДЕЛ УФМС РОССИИ ПО СВЕРДЛОВСКОЙ ОБЛ. В ГОРОДЕ СЕРОВЕ;66;660-073-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592388211447143
2593592000649369450;ООРОЗП УФМС России по Московской области;50;;;23.09.2021;MVDR23_DEPARTMENTS_2593592000649369450
2593592566955906641;ТРЕТЬИМ МЕЖРАЙОННЫМ ОТДЕЛОМ ВИР УВД ЗАПАДНОГО АДМИНИСТРАТИВНОГО ОКРУГА ГОРОДА МОСКВЫ;77;775667;;29.12.2022;MVDR23_DEPARTMENTS_2593592566955906641
2593592435850352041;УПРАВЛЕНИЕМ ВНУТРЕННИХ ДЕЛ ГОРОДА ТОЛЬЯТТИ САМАРСКОЙ ОБЛАСТИ;63;635236;;30.12.2022;MVDR23_DEPARTMENTS_2593592435850352041
2593592180467569740;МЕЖРАЙОННОЕ ОТДЕЛЕНИЕ УФМС РОССИИ ПО СМОЛЕНСКОЙ ОБЛАСТИ В ГОРОДЕ РУДНЯ;67;670-020-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592180467569740
2593591722726397412;УВД Г. АРТЕМА ПРИМОРСКОГО КРАЯ;25;252-007;;23.09.2021;MVDR23_DEPARTMENTS_2593591722726397412
2593592697793025783;ОФМС РОССИИ ПО ЧУКОТСКОМУ АО;87;870-007-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592697793025783
2593592358901650750;ТЕРРИТОРИАЛЬНЫЙ ПУНКТ УФМС РОССИИ ПО АЛТАЙСКОМУ КРАЮ И РЕСПУБЛИКЕ АЛТАЙ В Г. ЯРОВОЕ;22;220-072-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592358901650750
2593592563852121677;МП УФМС РОССИИ ПО КАМЧАТСКОМУ КРАЮ В ПОС. ОЗЕРНОВСКИЙ;41;410-012-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592563852121677
2593592169864369217;ОТДЕЛЕНИЕ ПО АДМИНИСТРАТИВНОЙ ПРАКТИКЕ ПО ОУФМС РОССИИ ПО Г. МОСКВЕ В ВАО;77;770902;;29.12.2022;MVDR23_DEPARTMENTS_2593592169864369217
2593592225732498568;ТЕРРИТОРИАЛЬНЫЙ ПУНКТ УФМС РОССИИ ПО АРХАНГЕЛЬСКОЙ ОБЛАСТИ И НЕНЕЦКОМУ АВТОНОМНОМУ ОКРУГУ В ВИНОГРАДОВСКОМ РАЙОНЕ;29;290-009-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592225732498568
2593591958546945838;ОВД ВОСТОЧНОЕ ИЗМАЙЛОВО УВД ВАО Г. МОСКВЫ;77;772-066;;23.09.2021;MVDR23_DEPARTMENTS_2593591958546945838
2593592094652110811;Отделение УФМС России по Ивановской области в Вичугском муниципальном районе;37;370-016;;23.09.2021;MVDR23_DEPARTMENTS_2593592094652110811
2593592121604707328;ВЕРХНЕПЫШМИНСКИЙ ГОВД СВЕРДЛОВСКОЙ ОБЛ.;66;662-019;;23.09.2021;MVDR23_DEPARTMENTS_2593592121604707328
2593592712707970828;ТЕРРИТОРИАЛЬНЫЙ ПУНКТ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В МУРАШИНСКОМ РАЙОНЕ;43;430-018-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592712707970828
2593591854410765976;1 ОТДЕЛЕНИЕ ОТДЕЛА ПО ПЕТРОДВОРЦОВОМУ РАЙОНУ СПБ И ЛОМОНОСОВСКОМУ РАЙОНУ ЛО УВМ ГУ МВД РОССИИ ПО СПБ И ЛО;78;780-041;;23.09.2021;MVDR23_DEPARTMENTS_2593591854410765976
2593592560614118985;ПЕРВЫМ МЕЖРАЙОННЫМ ОТДЕЛОМ ВИР УВД СЕВЕРО-ВОСТОЧНОГО АДМИНИСТРАТИВНОГО ОКРУГА ГОРОДА МОСКВЫ;77;775657;;29.12.2022;MVDR23_DEPARTMENTS_2593592560614118985
2593592061911373749;ОУФМС РОССИИ ПО ЧЕЛЯБИНСКОЙ ОБЛ. В КАЛИНИНСКОМ Р-НЕ Г. ЧЕЛЯБИНСКА;74;740-059;;23.09.2021;MVDR23_DEPARTMENTS_2593592061911373749
2593591849914472084;3 ОТДЕЛЕНИЕ ОТДЕЛА ПО КАЛИНИНСКОМУ РАЙОНУ СПБ УВМ ГУ МВД РОССИИ ПО СПБ И ЛО;78;780-011;;23.09.2021;MVDR23_DEPARTMENTS_2593591849914472084
2593592154303501354;ТП УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В ПГТ. КЛЕТНЯ;32;320-015-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592154303501354
2593592373313279315;ТЕРРИТОРИАЛЬНЫЙ ПУНКТ УФМС РОССИИ ПО АЛТАЙСКОМУ КРАЮ И РЕСПУБЛИКЕ АЛТАЙ В С. ЗАВЬЯЛОВО;22;220-013-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592373313279315
2593591992453699423;ТП №2 В ПОС. БЕЛООМУТЕ УФМС РОССИИ ПО МОСКОВСКОЙ ОБЛ.;50;500-216;;23.09.2021;MVDR23_DEPARTMENTS_2593591992453699423
2593591905690326755;"ОМ Р-НА ""СЕВЕРНЫЙ"" УВД СЕВЕРО-ВОСТОЧНОГО АДМИНИСТРАТИВНОГО ОКРУГА Г. МОСКВЫ";77;773-053;;23.09.2021;MVDR23_DEPARTMENTS_2593591905690326755
2593592082857727951;ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В СЕРГОКАЛИНСКОМ Р-НЕ МЕЖРАЙОННОГО ОТДЕЛА УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В Г. ИЗБЕРБАШЕ;05;050-038;;23.09.2021;MVDR23_DEPARTMENTS_2593592082857727951
2593592241662465184;ОТДЕЛЕНИЕ УФМС РОССИИ ПО АРХАНГЕЛЬСКОЙ ОБЛАСТИ И НЕНЕЦКОМУ АВТОНОМНОМУ ОКРУГУ В ОНЕЖСКОМ РАЙОНЕ;29;290-022-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592241662465184
2593592151677867046;КИРОВСКИМ РУВД САНКТ-ПЕТЕРБУРГА;78;785781;;29.12.2022;MVDR23_DEPARTMENTS_2593592151677867046
2593592707616085765;УФМС РОССИИ ПО КРАСНОДАРСКОМУ КРАЮ;23;230-001-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592707616085765
2593591768335259169;ОВД Г. БЕЛЕБЕЯ И БЕЛЕБЕЕВСКОГО Р-НА РЕСПУБЛИКИ БАШКОРТОСТАН;02;022-008;;23.09.2021;MVDR23_DEPARTMENTS_2593591768335259169
2593592402673407356;ОТДЕЛЕНИЕ УФМС РОССИИ ПО АСТРАХАНСКОЙ ОБЛАСТИ В ХАРАБАЛИНСКОМ РАЙОНЕ;30;300-014-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592402673407356
2593592530608068132;ТЕРРИТОРИАЛЬНЫЙ ПУНКТ УФМС РОССИИ ПО ИРКУТСКОЙ ОБЛАСТИ В БОХАНСКОМ РАЙОНЕ;38;380-046-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592530608068132
2593592444515784117;ОТДЕЛЕНИЕ ПО АДМИНИСТРАТИВНОЙ ПРАКТИКЕ ОУФМС РОССИИ ПО Г. МОСКВЕ В ЗАО;77;770903;;29.12.2022;MVDR23_DEPARTMENTS_2593592444515784117
2593591973889709891;ОТДЕЛЕНИЕ ПО РАЙОНУ ЯСЕНЕВО;77;770-615;;23.09.2021;MVDR23_DEPARTMENTS_2593591973889709891
2593592291574682853;ОТДЕЛЕНИЕ УФМС РОССИИ ПО ЯРОСЛАВСКОЙ ОБЛ., В Г. ПЕРЕСЛАВЛЕ-ЗАЛЕССКОМ И ПЕРЕСЛАВСКОМ РАЙОНЕ;76;760-008-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592291574682853
2593592375351711062;ТЕРРИТОРИАЛЬНЫЙ ПУНКТ УФМС РОССИИ ПО АЛТАЙСКОМУ КРАЮ И РЕСПУБЛИКЕ АЛТАЙ В С. КРАСНОГОРСКОЕ;22;220-022-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592375351711062
2593591793677243975;Миграционный пункт УФМС России по Республике Крым и г. Севастополю в Раздольненском районе;91;910-024;;23.09.2021;MVDR23_DEPARTMENTS_2593591793677243975
2593592689429583595;УПРАВЛЕНИЕМ ВНУТРЕННИХ ДЕЛ ВСЕВОЛОЖСКОГО РАЙОНА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;47;785278;;29.12.2022;MVDR23_DEPARTMENTS_2593592689429583595
2593591767731279392;ЯНАУЛЬСКИЙ ГОРОДСКОЕ ОВД РЕСПУБЛИКИ БАШКОРТОСТАН;02;022-071;;23.09.2021;MVDR23_DEPARTMENTS_2593591767731279392
2593592211983570039;ОТДЕЛЕНИЕ УФМС РОССИИ ПО ЛИПЕЦКОЙ ОБЛАСТИ В ЛИПЕЦКОМ РАЙОНЕ;48;480-019-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592211983570039
2593592555379627587;ПЕРВЫМ МЕЖРАЙОННЫМ ОТДЕЛОМ ВИР УВД ВОСТОЧНОГО АДМИНИСТРАТИВНОГО ОКРУГА ГОРОДА МОСКВЫ;77;775651;;29.12.2022;MVDR23_DEPARTMENTS_2593592555379627587
2593591960023340848;46 ОТДЕЛЕНИЕ МИЛИЦИИ 4 РУВД ЦАО Г.МОСКВЫ;77;773-046;;23.09.2021;MVDR23_DEPARTMENTS_2593591960023340848
2593592019498571652;"МИГРАЦИОННЫЙ ПУНКТ ОТДЕЛЕНИЯ ПОЛИЦИИ №1 МО МВД РОССИИ ""МАЙМИНСКИЙ""";04;040-005;;23.09.2021;MVDR23_DEPARTMENTS_2593592019498571652
2593592462047974860;СЕРЕБРЯНО-ПРУДСКИМ РОВД МОСКОВСКОЙ ОБЛАСТИ;50;503601;;30.12.2022;MVDR23_DEPARTMENTS_2593592462047974860
2593592399259243895;"ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОТДЕЛА ПОЛИЦИИ № 24 МО МВД РОССИИ ""КАМЕНСК-УРАЛЬСКИЙ"" ГУ МВД РОССИИ ПО СВЕРДЛОВСКОЙ ОБЛАСТИ";66;660-031;;23.09.2021;MVDR23_DEPARTMENTS_2593592399259243895
2593591723363931621;УВД Г. БАЛАШОВА И БАЛАШОВСКОГО Р-НА САРАТОВСКОЙ ОБЛ.;64;642-014;;23.09.2021;MVDR23_DEPARTMENTS_2593591723363931621
2593592020916246406;9 отделение милиции Сергиево-Посадского УВД Московской области;50;503-133;;23.09.2021;MVDR23_DEPARTMENTS_2593592020916246406
2593591948279289631;ПАСПОРТНО-ВИЗОВОЕ ОТДЕЛЕНИЕ ОВД РАЙОНА В.ДЕГУНИНО ГОРОДА МОСКВЫ;77;772-018;;23.09.2021;MVDR23_DEPARTMENTS_2593591948279289631
2593592308863603964;ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ КОМИ В ЭЖВИНСКОМ РАЙОНЕ Г.СЫКТЫВКАРА;11;110-002-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592308863603964
2593592289485919458;ОТДЕЛ УФМС РОССИИ ПО КАЛИНИНГРАДСКОЙ ОБЛАСТИ В  МАМОНОВСКОМ ГОРОДСКОМ ОКРУГЕ;39;390-009-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592289485919458
2593592456721208773;УПРАВЛЕНИЕМ ВНУТРЕННИХ ДЕЛ ОРЕХОВО-ЗУЕВСКОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ;50;505629;;30.12.2022;MVDR23_DEPARTMENTS_2593592456721208773
2593592146753754143;ТЕРРИТОРИАЛЬНЫЙ ПУНКТ УФМС РОССИИ ПО ВОРОНЕЖСКОЙ ОБЛАСТИ В ТЕРНОВСКОМ РАЙОНЕ;36;360-039-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592146753754143
2593592079946880971;ОВД БЕРИНГОВСКОГО Р-НА ЧУКОТСКОГО АО;87;872-003;;23.09.2021;MVDR23_DEPARTMENTS_2593592079946880971
2593592574824420955;ПЕРВЫМ МЕЖРАЙОННЫМ ОТДЕЛОМ ВИР УВД ЗАПАДНОГО АДМИНИСТРАТИВНОГО ОКРУГА ГОРОДА МОСКВЫ;77;775679;;29.12.2022;MVDR23_DEPARTMENTS_2593592574824420955
2593592021662832519;ТП УФМС РОССИИ ПО МОСКОВСКОЙ ОБЛ. В ПОС. НЕРАСТАННОЕ ЧЕХОВСКОГО Р-НА;50;500-204;;23.09.2021;MVDR23_DEPARTMENTS_2593592021662832519
2593592251535856815;ОТДЕЛЕНИЕ УФМС РОССИИ ПО ТВЕРСКОЙ ОБЛ. В ОСТАШКОВСКОМ РАЙОНЕ;69;690-027-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592251535856815
2593592434449454503;УПРАВЛЕНИЕМ ВНУТРЕННИХ ДЕЛ АВТОЗАВОДСКОГО РАЙОНА ГОРОДА ТОЛЬЯТТИ САМАРСКОЙ ОБЛАСТИ;63;632038;;30.12.2022;MVDR23_DEPARTMENTS_2593592434449454503
2593592710627596041;ОТДЕЛ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ПОСЕЛКЕ КУМЕНЫ;43;430-014-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592710627596041
2593591974485301060;Отделение миграционного учета и применение административного законодательства отдела УФМС России по г. Москве в ЮЗАО;77;770-691;;23.09.2021;MVDR23_DEPARTMENTS_2593591974485301060
2593592699110037241;ПРИОЗЕРСКИМ ГОВД ЛЕНИНГРАДСКОЙ ОБЛАСТИ;47;785289;;29.12.2022;MVDR23_DEPARTMENTS_2593592699110037241
2593592401289287034;УФМС РОССИИ ПО АСТРАХАНСКОЙ ОБЛАСТИ;30;300-013-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592401289287034
2593592272582874316;ОТДЕЛ В ОКТЯБРЬСКОМ РАЙОНЕ Г.ПЕНЗЫ.;58;580-002-O;;23.09.2021;MVDR23_DEPARTMENTS_2593592272582874316
2593592406179845505;УПРАВЛЕНИЕМ ВНУТРЕННИХ ДЕЛ ПОДОЛЬСКОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ;50;505608;;30.12.2022;MVDR23_DEPARTMENTS_2593592406179845505
2593592457434240454;УПРАВЛЕНИЕМ ВНУТРЕННИХ ДЕЛ ЩЕЛКОВСКОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ;50;505637;;30.12.2022;MVDR23_DEPARTMENTS_2593592457434240454
