id;name_ru;name_en;regula_code;elpost_code;epgu_code;original_regula_code
5343;ОТДЕЛ УФМС РОССИИ ПО АЛТАЙСКОМУ КРАЮ В Г СЛАВГОРОДЕ;;220-046;128680;;220-046
5495;ОТДЕЛЕНИЕ УФМС РОССИИ ПО ИРКУТСКОЙ ОБЛ В Г ТАЙШЕТЕ И ТАЙШЕТСКОМ РНЕ;;380-027;122548;;380-027
5558;ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В АФАНАСЬЕВСКОМ РАЙОНЕ;;430-002;121179;;430-002
5559;ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В БЕЛОХОЛУНИЦКОМ РАЙОНЕ;;430-003;121180;;430-003
5723;ТП ОФМС РОССИИ ПО ЧУКОТСКОМУ АВТОНОМНОМУ ОКРУГУ В БИЛИБИНСКОМ МУНИЦИПАЛЬНОМ РНЕ;;870-004;114555;;870-004
5725;ТП ОФМС РОССИИ ПО ЧУКОТСКОМУ АВТОНОМНОМУ ОКРУГУ В ПРОВИДЕНСКОМ МУНИЦИПАЛЬНОМ РНЕ;;870-006;114557;;870-006
5811;ОТДЕЛЕНИЕ УФМС РОССИИ ПО ЧЕЧЕНСКОЙ РЕСПУБЛИКЕ В СТАРОПРОМЫСЛОВСКОМ РНЕ Г ГРОЗНОГО;;200-006;117663;;200-006
5943;ТП В ПОС ВАХРУШИ ОУФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В СЛОБОДСКОМ РАЙОНЕ;;430-048;121417;;430-048
6089;ТП УФМС РОССИИ ЯМАЛОНЕНЕЦКОМУ АВТОНОМНОМУ ОКРУГУ В ШУРЫШКАРСКОМ РНЕ;;890-013;120120;;890-013
6090;ТП УФМС РОССИИ ЯМАЛОНЕНЕЦКОМУ АВТОНОМНОМУ ОКРУГУ В КРАСНОСЕЛЬКУПСКОМ РНЕ;;890-014;120121;;890-014
6135;ОТДЕЛ УФМС РОССИИ ПО ТВЕРСКОЙ ОБЛ В ЗАВОЛЖСКОМ РНЕ Г ТВЕРИ;;690-001;116562;;690-001
6139;ОТДЕЛЕНИЕ УФМС РОССИИ ПО ТВЕРСКОЙ ОБЛ В БЕЖЕЦКОМ РНЕ;;690-005;116566;;690-005
6163;ПОСТ ИММИГРАЦИОННОГО КОНТРОЛЯ ПЕТРОПАВЛОВСККАМЧАТСКИЙ АЭРОМОРПОРТ;;410-013;128058;;410-013
6198;ОТДЕЛ УФМС РОССИИ ПО ТВЕРСКОЙ ОБЛ В МОСКОВСКОМ РНЕ Г ТВЕРИ;;690-040;115652;;690-040
6349;МАЛЫШЕВСКОЕ ОМ АСБЕСТОВСКОГО ГОВД СВЕРДЛОВСКОЙ ОБЛ;;663-012;127979;;663-012
6352;РЕФТИНСКОЕ ОМ АСБЕСТОВСКОГО ГОВД СВЕРДЛОВСКОЙ ОБЛ;;663-013;127982;;663-013
6503;ОУФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В ЦУНТИНСКОМ РАЙОЕНЕ;;050-047;114640;;050-047
6652;ТП В Г ЗАВОЛЖЬЕ ОТДЕЛА УФМС РОССИИ ПО НИЖЕГОРОДСКОЙ ОБЛ В ГОРОДЕЦКОМ РНЕ;;520-061;116398;;520-061
6655;БОГДАНОВИЧСКИЙ ОВД СВЕРДЛОВСКОЙ ОБЛ;;662-018;127922;;662-018
6662;КАМЕНСКУРАЛЬСКИЙ УВД СВЕРДЛОВСКОЙ ОБЛ;;662-025;127929;;662-025
6673;УВД Г НИЖНЕГО ТАГИЛА СВЕРДЛОВСКОЙ ОБЛ;;662-036;127940;;662-036
6703;ТЕРРИТОРИАЛЬНОЕ ОТДЕЛЕНИЕ В Г БИЙСКЕ МЕЖРАЙОННОГО ОТДЕЛА 2 УФМС РОССИИ ПО АЛТАЙСКОМУ КРАЮ;;220-010;117534;;220-010
6715;ТП УФМС РОССИИ ПО АЛТАЙСКОМУ КРАЮ В СКРАСНОГОРСКОЕ;;220-022;117546;;220-022
6878;ОТДЕЛ УФМС РОССИИ ПО ОРЕНБУРГСКОЙ ОБЛ В Г БУЗУЛУКЕ;;560-011;115342;;560-011
6899;ОТДЕЛЕНИЕ УФМС РОССИИ ПО ЯМАЛОНЕНЕЦКОМУ АВТОНОМНОМУ ОКРУГУ В ТАЗОВСКОМ РНЕ;;890-010;120047;;890-010
6901;УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН;;050-001;114851;;050-001
6902;ОУФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В ЛЕНИНСКОМ РНЕ Г МАХАЧКАЛЫ;;050-002;114852;;050-002
7176;ТП В РОВЕНЬСКОМ РНЕ МО УФМС РОССИИ ПО БЕЛГОРОДСКОЙ ОБЛ В Г ВАЛУЙКИ;;310-010;118250;;310-010
7178;ОТДЕЛЕНИЕ 1 МО УФМС РОССИИ ПО БЕЛГОРОДСКОЙ ОБЛ В Г ВАЛУЙКИ;;310-012;118252;;310-012
7182;ТП В Г БЕЛГОРОД22 ОТДЕЛА УФМС РОССИИ ПО БЕЛГОРОДСКОЙ ОБЛ В Г БЕЛГОРОД;;310-016;118256;;310-016
7187;ОТДЕЛЕНИЕ 2 МО УФМС РОССИИ ПО БЕЛГОРОДСКОЙ ОБЛ В Г СТАРЫЙ ОСКОЛ;;310-021;118261;;310-021
7188;ТП В НОВООСКОЛЬСКОМ РНЕ МО УФМС РОССИИ ПО БЕЛГОРОДСКОЙ ОБЛ В Г АЛЕКСЕЕВКА;;310-022;118262;;310-022
7215;ОТДЕЛ УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В ЦЕНТРАЛЬНОМ РНЕ Г ЧИТЫ;;750-002;114384;;750-002
7277;ОТДЕЛ УФМС РОССИИ ПО ОРЕНБУРГСКОЙ ОБЛ В Г БУГУРУСЛАНЕ;;560-010;116697;;560-010
7420;ОТДЕЛ УФМС РОССИИ ПО СВЕРДЛОВСКОЙ ОБЛ В ОКТЯБРЬСКОМ РНЕ Г ЕКАТЕРИНБУРГА;;660-008;115875;;660-008
7466;ОТДЕЛ ПО ВОПРОСАМ ТРУДОВОЙ МИГРАЦИИ УФМС РОССИИ ПО САНКТПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ;;780-086;128516;;780-086
7786;ОВД СЕВЕРНОЕ МЕДВЕДКОВО ПС 2 Г МОСКВЫ;;772-134;127876;;772-134
7800;РАДУЖНИНСКОЕ ПОМ КИРОВОЧЕПЕЦКОГО РНА Г КИРОВА;;433-003;127565;;433-003
7801;2 ОМ УВД КИРОВСКОЙ ОБЛ;;433-013;127566;;433-013
7802;4 ОВД ОМУТНИНСКОГО РНА КИРОВСКОЙ ОБЛ;;433-014;127567;;433-014
7803;6 ОМ УВД КИРОВСКОЙ ОБЛАСТИ;;433-016;127568;;433-016
