id;name_ru;name_en;regula_code;elpost_code;epgu_code
171;ОВД ГЕРГЕБИЛЬСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-018;3365;2593590927855457722
172;ОВД ГУМБЕТОВСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-019;3366;2593593571122616240
173;ОВД ГУНИБСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-020;3367;2593580598828209216
174;ОВД ДАХАДАЕВСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-021;3368;2593590105100784959
175;ОВД КАЙТАГСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-023;3370;2593590100663211321
176;ОВД КАЯКЕНТСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-024;3371;2593594782546662917
177;ОВД КУЛИНСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-025;3372;2593580937711195694
178;ОВД КУРАХСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-026;3373;2593580940504602162
179;ОВД ЛАКСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-027;3374;2593591640182494582
180;ОВД ЛЕВАШИНСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-028;3375;2593580197466871318
181;ОВД КАРАБУДАХКЕНТСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-029;3376;2593589718679557775
182;ОВД МАГАРАМКЕНТСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-030;3377;2593595021353555750
183;ОВД НОВОЛАКСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-031;3378;2593591343376766955
184;ОВД НОГАЙСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-032;3379;2593589718050412174
185;ОВД РУТУЛЬСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-033;3380;2593586655864559466
186;ОВД СЕРГОКАЛИНСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-034;3381;2593590101351077178
187;ОВД ШАМИЛЬСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-035;3382;2593593562096474020
188;ОВД СУЛЕЙМАНСТАЛЬСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-036;3383;2593590104261924158
189;ОВД ТАРУМОВСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-038;3385;2593591385512743964
190;ОВД КИРОВСКОГО РНА Г МАХАЧКАЛЫ РЕСПУБЛИКИ ДАГЕСТАН;;052-039;3386;2593580577907020834
191;ОВД ТЛЯРАТИНСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-040;3387;2593580186544903687
192;ОВД УНЦУКУЛЬСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-041;3388;2593580919054931463
193;ОВД ХИВСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-042;3389;2593591365422027780
194;ОВД ХУНЗАХСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-043;3390;2593592088645867474
