id;name_ru;name_en;regula_code;elpost_code;epgu_code
192;ОВД УНЦУКУЛЬСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-041;3388;
193;ОВД ХИВСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-042;3389;
194;ОВД ХУНЗАХСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-043;3390;
195;ОВД ЦУМАДИНСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-044;3391;
196;ОВД ЦУНТИНСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-045;3392;
197;ОВД ЧАРОДИНСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-046;3393;
198;ОВД Г. ЮЖНО-СУХОКУМСКА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-047;3394;
199;ОВД КИЗИЛЮРТОВСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-048;3395;
200;ОВД КУМТОРКАЛИНСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-049;3396;
201;ОВД ДЕРБЕНТСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-050;3397;
202;ОВД Г. ДАГЕСТАНСКИЕ ОГНИ РЕСПУБЛИКИ ДАГЕСТАН;nan;052-052;3399;
203;ОВД ДОКУЗПАРИНСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-053;3400;
204;БЕЖТИНСКИЙ ПОМ ЦУНТИНСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;053-001;3401;
205;БЕЛИДЖИНСКИЙ ПОМ ДЕРБЕНТСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;053-002;3402;
206;ДУБКИНСКОЕ ПОМ Г. КИЗИЛЮРТА РЕСПУБЛИКИ ДАГЕСТАН;nan;053-003;3403;
207;КОЧУБЕЙСКОЕ ПОМ ТАРУМОВСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;053-004;3404;
208;МАМЕДКАЛИНСКОЕ ПОМ ДЕРБЕНТСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;053-005;3405;
209;ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В ПОС. ШАМИЛЬКАЛА;nan;053-006;3406;
210;ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В П. ШАМХАЛ;nan;050-055;3407;
211;УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ МИГРАЦИОННОЙ СЛУЖБЫ ПО КИРОВСКОЙ ОБЛАСТИ;nan;430-000;2051;
