id;name_ru;name_en;regula_code;elpost_code;epgu_code
13609;ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ ОТДЕЛА МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО БУЗДЯКСКОМУ РАЙОНУ;;020-038;140046;
13637;ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ ОТДЕЛА МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ХАЙБУЛЛИНСКОМУ РАЙОНУ;;020-066;140074;
13682;ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ УМВД РОССИИ В Г МАХАЧКАЛА;;050-002;140119;
13683;ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ПО Г БУЙНАКСКУ МВД РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН;;050-003;140120;
13690;МИГРАЦИОННЫЙ ПУНКТ ОТДЕЛЕНИЯ МВД РОССИИ ПО Г ЮЖНОСУХОКУМСКУ МВД РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН;;050-010;140127;
13691;МИГРАЦИОННЫЙ ПУНКТ ОТДЕЛЕНИЯ МВД РОССИИ ПО Г ДАГЕСТАНСКИЕ ОГНИ МВД РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН;;050-011;140128;
13692;МИГРАЦИОННЫЙ ПУНКТ ОТДЕЛЕНИЯ МВД РОССИИ ПО АГУЛЬСКОМУ РАЙОНУ МВД РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН;;050-012;140129;
13707;МИГРАЦИОННЫЙ ПУНКТ ОТДЕЛЕНИЯ МВД РОССИИ ПО КУРАХСКОМУ РАЙОНУ МВД РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН;;050-027;140144;
13709;МИГРАЦИОННЫЙ ПУНКТ ОМВД РОССИИ ПО ЛЕВАШИНСКОМУ РАЙОНУ;;050-029;140146;
13723;МИГРАЦИОННЫЙ ПУНКТ ОТДЕЛЕНИЯ МВД РОССИИ ПО ЦУНТИНСКОМУ РАЙОНУ МВД РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН;;050-043;140160;
13727;ГРУППА ПО ВОПРОСАМ МИГРАЦИИ МИГРАЦИОННОГО ПУНКТА ОМВД РОССИИ ПО КАЗБЕКОВСКОМУ РАЙОНУ П ДУБКИ МВД РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН;;050-054;140164;
13728;ГРУППА ПО ВОПРОСАМ МИГРАЦИИ МИГРАЦИОННОГО ПУНКТА ОМВД РОССИИ ПО ТАРУМОВСКОМУ РАЙОНУ П КОЧУБЕЙ МВД РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН;;050-055;140165;
13729;ГРУППА ПО ВОПРОСАМ МИГРАЦИИ МИГРАЦИОННОГО ПУНКТА ОТДЕЛЕНИЯ МВД РОССИИ ПО ЦУНТИНСКОМУ РАЙОНУ С БЕЖТА МВД РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН;;050-056;140166;
13741;ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ МО МВД РОССИИ УРВАНСКИЙ;;070-004;140178;
13766;ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ ОТДЕЛА МВД РОССИИ ПО МАЛОКАРАЧАЕВСКОМУ РАЙОНУ МВД РОССИИ ПО КАРАЧАЕВАЧЕРКЕССКОЙ РЕСПУБЛИКИ;;090-005;140203;
13792;МИГРАЦИОННЫЙ ПУНКТ ОМВД РОССИИ ПО СУОЯРВСКОМУ РАЙОНУ;;100-019;140229;
13854;МИГРАЦИОННЫЙ ПУНКТ ОТДЕЛЕНИЯ МВД РОССИИ ПО ВИЛЮЙСКОМУ РАЙОНУ;;140-012;140291;
13901;УПРАВЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ МВД ПО РЕСПУБЛИКЕ ТАТАРСТАН МВД РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН;;160-001;140338;
13902;ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОТДЕЛА ПОЛИЦИИ 1 АВИАСТРОИТЕЛЬНЫЙ УМВД РОССИИ ПО Г КАЗАНИ МВД РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН;;160-002;140339;
13903;ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОТДЕЛА ПОЛИЦИИ 2 ВИШНЕВСКИЙ УМВД РОССИИ ПО Г КАЗАНИ МВД РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН;;160-003;140340;
13904;ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОТДЕЛА ПОЛИЦИИ 3 ЗАРЕЧЕНСКИЙ УМВД РОССИИ ПО Г КАЗАНИ МВД РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН;;160-004;140341;
13905;ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОТДЕЛА ПОЛИЦИИ 11 ВОСХОД УМВД РОССИИ ПО Г КАЗАНИ МВД РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН;;160-005;140342;
13906;ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОТДЕЛА ПОЛИЦИИ 7 ГАГАРИНСКИЙ УМВД РОССИИ ПО Г КАЗАНИ МВД РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН;;160-006;140343;
